id;user_id;hotel_id;hotel_name;hotel_stars;city_tax;address;begin_date;end_date;price_per_night;includes_breakfast;room_details;rating;comment
Book0000000101;JorFaria;HTL101;Eiffel Tower View Hotel;4;2;101 Rue de la Tour Eiffel, Paris;2022/07/20;2022/07/19;220;true;Amenities: Air Conditioning;1;Easy access to tourist attractions.
Book0000000197;MCastro31;HTL505;;5;2;505 Carrer d'Enric Granados, Barcelona;2021/02/12;2021/02/16;300;true;Occupancy: 1 Guest;1;Highly recommended!
Book0000000299;AValente1155;;Colosseum View Hotel;4;3;301 Via di San Gregorio, Rome;2022/02/14;2022/02/16;200;true;Bathroom: Bathtub;2;An enjoyable stay overall.
;SofiAmaral-Teixeira;HTL802;Fashion District Suites;5;2;802 Via Montenapoleone, Milan;2023/05/20;2023/05/22;350;true;View: Garden View;2;
Book0000000398;GabriJesus;;Spree Riverfront Hotel;4;3;1404 Schiffbauerdamm, Berlin;2022/04/03;2022/04/06;200;true;Number of Beds: 1;2;Highly recommended!
Book0000000432;MadaleRamos185;HTL1404;;4;3;1404 Schiffbauerdamm, Berlin;2022/04/03;2022/04/04;200;true;Bathroom: Private;2;The check-in process was quick and easy.
Book0000000443;MarcoMatias882;HTL1202;Esplanadi Park Inn;3;3;1202 Pohjoisesplanadi, Helsinki;2022/07/13;2022/07/09;180;false;Bathroom: Private;2;
;JReis;HTL205;Plaza Mayor Hotel;4;2;205 Plaza Mayor, Madrid;2022/05/13;2022/05/17;190;true;Amenities: Coffee Maker;4;The check-in process was quick and easy.
Book0000000675;LucBatista1373;HTL204;Retiro Park Inn;3;2;;2022/12/03;2022/12/04;150;false;Room Type: Standard;4;
Book0000000719;SalTavares159;HTL1105;Josefov District Hotel;4;1;;2023/03/22;2023/03/25;240;true;Number of Beds: 1;1;
Book0000000762;ConsMartins1043;HTL1405;Kurfürstendamm Plaza Hotel;4;3;1405 Kurfürstendamm, Berlin;2022/04/15;2022/04/18;230;-25;Number of Beds: 2 Queen Beds;2;Family-friendly accommodations.
Book0000000777;DanieBatista;HTL1402;;3;3;1402 Alexanderplatz, Berlin;2022/04/15;2022/04/19;160;false;Room Size: 700 sq ft;4;Quiet and peaceful ambiance.
Book0000000930;SamLima1284;HTL1404;Spree Riverfront Hotel;4;3;;2021/04/13;2021/04/14;200;true;Room Type: Suite;2;We had a memorable experience at this hotel.
Book0000000946;Diana-ÉriRodrigues1395;HTL1002;Plaka Historic Inn;3;2;1002 Adrianou, Athens;2023/05/12;2023/05/10;160;false;Room Type: Suite;1;
Book0000000971;FranVaz4;HTL1003;Omonia Square Suites;2;-10;1003 Omonoia Square, Athens;2023/05/10;2023/05/14;120;false;Room Type: Standard;2;Easy access to tourist attractions.
;BCunha;HTL1004;Syntagma Plaza Hotel;4;2;1004 Syntagma Square, Athens;2023/05/10;2023/05/12;200;true;Room Size: 400 sq ft;4;
Book0000001034;PatríciLopes-Macedo1192;HTL1603;;3;4;303 Centrum, Warsaw;2022/05/12;2022/05/14;160;false;Amenities: TV;1;
Book0000001142;IvBranco;HTL903;Belém Riverside Hotel;4;2;;2022/12/09;2022/12/12;220;true;Room Type: Deluxe;3;
;MaFaria788;HTL705;Aker Brygge Waterfront Hotel;4;4;705 Stranden, Oslo;2021/11/11;2021/11/14;260;true;Bathroom: Shower;1;
Book0000001288;HPires801;HTL1502;;4;3;202 Bergweg, Munich;2023/06/17;2023/06/18;280;true;Room Size: 400 sq ft;4;
Book0000001293;LBaptista86;;Munich Lakeside Resort;4;3;204 Am Seeufer, Munich;2023/06/17;2023/06/21;320;true;Room Size: 700 sq ft;3;
Book0000001389;SebaCampos;HTL1401;Brandenburg Gate Hotel;4;3;1401 Pariser Platz, Berlin;2022|02|07;2022/02/09;220;TRUE;Bathroom: Ensuite;3;The hotel offered a complimentary shuttle service.
Book0000001504;SimGonçalves;HTL304;Copenhagen Harbor View Inn;-1;3;304 Havnegade, Copenhagen;2021/04/08;2021/04/12;320;true;Number of Beds: 1 King Bed;4;Our room had a fantastic view of the river.
;NelRamos;HTL903;Belém Riverside Hotel;4;2;903 Avenida de Brasília, Lisbon;2021/02/13;2021/02/15;220;true;Number of Beds: 1 King Bed;3;
Book0000001800;MelisGomes481;HTL1303;Port de Nice Suites;4;3;;2023/05/15;2023/05/17;220;true;Room Type: Executive Suite;3;The staff went above and beyond to make us feel welcome.
Book0000001817;GustBarbosa1653;HTL1302;Old Town District Inn;3;3;1302 Rue de la Préfecture, Nice;09:01:32 PM/15/02/2009;2023/05/16;180;false;View: Garden View;3;
Book0000001885;AMatias-Nogueira469;HTL1403;Prenzlauer Berg Inn;2;3;1403 Kastanienallee, Berlin;2023/03/09;2023/03/11;;false;Bathroom: Ensuite;4;We received a warm welcome upon arrival.
Book0000001895;IsaPires;HTL1402;Alexanderplatz Suites;3;3;1402 Alexanderplatz, Berlin;07:59:34 PM/02/05/2001;2023/03/12;160;F;Number of Beds: 1 King Bed;4;
Book0000002102;DuaSantos;HTL304;Roman Forum Inn;4;3;304 Via dei Fori Imperiali, Rome;2023/04/04;2023/04/08;;true;Bathroom: Ensuite;4;We will definitely return to this hotel.
Book0000002130;GiGomes26;;Vatican City Suites;5;3;302 Via della Conciliazione, Rome;2023/04/04;2023/04/07;320;true;Room Type: Executive Suite;4;
Book0000002149;RaquPinho;HTL202;;5;2;202 Plaza de Oriente, Madrid;2021/10/20;2021/10/24;280;true;Amenities: Air Conditioning;3;
;LucMacedo1638;HTL305;Vesterbro Comfort Suites;4;3;305 Vesterbrogade, Copenhagen;2022/08/17;2022/08/18;290;true;Occupancy: 4 Guests;2;
Book0000002266;EnTavares;HTL1205;Sörnäinen Waterfront Inn;3;-23;1205 Sörnäisten rantatie, Helsinki;2022/08/14;2022/08/15;160;true;Room Size: 300 sq ft;4;An enjoyable stay overall.
Book0000002292;BrRocha-Oliveira;HTL1204;Töölö Riverside Hotel;4;3;1204 Helsinginkatu, Helsinki;2022/08/14;2022/08/16;200;-23;Room Type: Deluxe;3;The hotel exceeded our expectations.
Book0000002314;AlexFreitas56;HTL303;Nørrebro Boutique Hotel;3;3;303 Nørrebrogade, Copenhagen;2021/01/16;2021/01/15;160;false;Room Type: Executive Suite;3;
Book0000002399;ÂngeLeal1617;;Schönbrunn Palace Hotel;4;4;605 Schönbrunner Schloßstraße, Vienna;2022/04/02;2022/04/05;210;true;View: Garden View;1;Well-appointed rooms with nice decor.
